"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"409","Jude McAtamney","K","FA","-","-","-","7","2","4","2","-","-","-","-","-","-","","","","","","3.8","15"
"410","Chris Brooks","RB","GB","0.8","4.2","0","0.6","BYE","0.1","0","0","3.4","0","0.8","3.1","1.9","","","","","","1.2","14.9"
"411","Terrell Jennings","RB","NE","-","-","-","-","-","-","1.8","1.5","10.9","0.5","-","0","-","","","","","","2.9","14.7"
"412","LeQuint Allen Jr.","RB","JAC","1.6","1.3","1.4","1.2","0","1.7","0.9","BYE","1.6","1.1","3.6","0.2","0","","","","","","1.2","14.6"
"413","Nick Westbrook-Ikhine","WR","MIA","1.2","2.8","0","0.6","0","0","3.1","2.3","3.2","1.2","0","BYE","0","","","","","","1.2","14.4"
"414","Braelon Allen","RB","NYJ","6.9","1.1","5.7","0.6","-","-","-","-","BYE","-","-","-","-","","","","","","3.6","14.3"
"415","Gunner Olszewski","WR","NYG","0","0","0","0","0","0","0","0","8.9","0","0","5.3","-","","","","","","1.2","14.2"
"416","Nate Adkins","TE","DEN","-","-","0","1.5","0","9.3","3","0","-","-","-","BYE","-","","","","","","2.3","13.8"
"417","Malachi Corley","WR","CLE","-","-","-","-","1.1","0","2.7","3.1","BYE","3.2","1.9","0.7","0.9","","","","","","1.7","13.6"
"418","Drew Sample","TE","CIN","0","1.2","9","0","0.4","0.3","0","0","0","BYE","0","0.5","2.2","","","","","","1.1","13.6"
"418","Tanner Conner","TE","MIA","3","0","1.8","0","2.6","1.3","3.3","1.6","0","-","-","BYE","-","","","","","","1.5","13.6"
"420","John FitzPatrick","TE","GB","0.7","0","8.2","0","BYE","0","1.1","0.9","0","0","1","1.6","0","","","","","","1.1","13.5"
"421","Johnny Mundt","TE","JAC","0","0","1.2","0","1.2","1.9","1.4","BYE","0","2.6","3.5","1.7","-","","","","","","1.2","13.5"
"422","Ben Skowronek","WR","PIT","8.7","0","0","0","BYE","0","0","1.8","0","0","0","2.6","0","","","","","","1.1","13.1"
"422","Isaiah Williams","WR","NYJ","-","0","0","-2","-","0","0","7.1","BYE","6.9","1.1","0","0","","","","","","1.3","13.1"
"424","Adam Thielen","WR","FA","2","3.6","0","2.1","0","-","1.5","0","0","2.6","1.1","0","-","","","","","","1.2","12.9"
"425","Tyler Conklin","TE","LAC","6.2","0","0","0.8","4","0","-","0","-","1.7","-","BYE","-","","","","","","1.6","12.7"
"426","Tylan Wallace","WR","BAL","0","9.5","0","1.9","0","0","BYE","1.1","0","0","0","0","-","","","","","","1.1","12.5"
"427","Casey Washington","WR","ATL","4.8","-","-","2.4","BYE","0","2.2","3","-","0","0","-","-","","","","","","1.8","12.4"
"428","Jayden Reed","WR","GB","12","0","-","-","BYE","-","-","-","-","-","-","-","-","","","","","","6","12"
"429","Konata Mumpfield","WR","LAR","0","0","0","0","0","1.2","7","BYE","0","0","0","3.5","0","","","","","","1","11.7"
"430","Malik Heath","WR","GB","0","4.2","0","1.4","BYE","0","0","4.4","1.6","0","-","0","0","","","","","","1.1","11.6"
"431","Jack Stoll","TE","NO","0","0","9.1","1.2","0","0","0","0","0","-","BYE","1.2","-","","","","","","1.2","11.5"
"432","Jaleel McLaughlin","RB","DEN","-","-","-","-","-","0","-","-","-","-","7.9","BYE","3.5","","","","","","3.8","11.4"
"433","John Bates","TE","WAS","0","0","-","-","1.4","0","1","2.7","3","1.1","0","BYE","1.9","","","","","","1.1","11.1"
"434","Will Shipley","RB","PHI","2.6","-","-","0","0.9","0","1.2","0.2","BYE","4.4","0","0","1.6","","","","","","1.1","10.9"
"435","Luke Schoonmaker","TE","DAL","0","0","1","1.8","0.8","1.3","0","3.5","1.9","BYE","0","0","0.6","","","","","","0.9","10.9"
"436","Ben Sinnott","TE","WAS","0","1.2","0","0","0","0","0","2.7","0","6.9","-","BYE","-","","","","","","1.1","10.8"
"437","Brevyn Spann-Ford","TE","DAL","0","0.8","0","0","0","0.7","0","1.4","0","BYE","0.9","6.9","0","","","","","","0.9","10.7"
"438","Austin Ekeler","RB","WAS","7.2","3.4","-","-","-","-","-","-","0","-","-","BYE","-","","","","","","3.5","10.6"
"438","Andrew Beck","TE","NYJ","0","0","0","0","6.6","1.1","0","1.4","BYE","0","0","1.5","0","","","","","","0.9","10.6"
"440","Andy Dalton","QB","CAR","-","-","-0.1","6.3","-","-","2.2","2.1","-","-","-","-","-","","","","","","2.6","10.5"
"441","Ryan Miller","WR","TB","0","8.5","0","0","0","0","1.9","0","BYE","0","0","0","0","","","","","","0.9","10.4"
"441","Ray-Ray McCloud III","WR","NYG","6.6","0","3","-0.2","-","-","-","-","1","0","-","-","-","","","","","","1.7","10.4"
"443","Trevor Etienne","RB","CAR","0.4","0.7","-2","3.3","3.4","1.7","0","1.6","0","0","0.2","0","0.9","","","","","","0.8","10.2"
"444","Najee Harris","RB","LAC","1.5","5.8","2.8","-","-","-","-","-","-","-","-","BYE","-","","","","","","3.4","10.1"
"445","Connor Heyward","TE","PIT","0","1.1","0","0.2","BYE","7.7","0","0","0.4","0","0.3","0","-","","","","","","0.9","9.7"
"445","Brittain Brown","RB","FA","-","-","-","-","-","-","-","-","9.7","-","-","-","-","","","","","","9.7","9.7"
"447","Gabe Davis","WR","BUF","-","-","-","-","-","-","BYE","-","-","-","5.5","2.7","1","","","","","","3.1","9.2"
"448","Drew Ogletree","TE","IND","0","0","0","0","0","0","0","0","0","0","BYE","7.8","1.3","","","","","","0.8","9.1"
"449","Arian Smith","WR","NYJ","0","0.3","1.2","0","1.9","0","0.5","2.8","BYE","1.3","0","0.8","-","","","","","","0.8","8.8"
"450","Skyy Moore","WR","SF","0","0","1.5","0","0.1","0","2","0","2.6","2.3","0","0","0","","","","","","0.7","8.5"
"451","Mo Alie-Cox","TE","IND","2.5","1.3","0","0","0","2.1","1.1","0","0","0","BYE","1.4","-","","","","","","0.8","8.4"
"452","Adam Prentice","RB","DEN","0.9","0","0","0.4","0.8","0.3","0","0","0.2","1.8","1.9","BYE","1.9","","","","","","0.7","8.2"
"452","Mason Tipton","WR","NO","-","-","0","0","0","0","0","0","0","0","BYE","4.8","3.4","","","","","","0.8","8.2"
"454","Robbie Chosen","WR","FA","-","-","-","-","-","-","5.6","-","-","2.2","0","-","-","","","","","","2.6","7.8"
"455","Kaleb Johnson","RB","PIT","-0.2","0.1","-","2.2","BYE","1.5","-","-","1.8","0.3","1.5","-","0.3","","","","","","0.9","7.5"
"455","James Proche II","WR","TEN","-","-","-","-","-","-","-","0","0","BYE","-","5.7","1.8","","","","","","1.9","7.5"
"455","Lil'Jordan Humphrey","WR","DEN","-","-","-","-","-","7.5","0","0","-","-","0","BYE","0","","","","","","1.5","7.5"
"455","Jaydon Blue","RB","DAL","-","-","-","-","0.7","0","3.9","2.9","-","BYE","-","-","-","","","","","","1.9","7.5"
"459","Bo Melton","WR","GB","0","-","0","0","BYE","0.3","0","0","0","3.8","1.7","0","1.5","","","","","","0.7","7.3"
"459","Josh Whyle","TE","GB","-","-","-","-","BYE","-","-","-","-","0","6.7","0.6","0","","","","","","1.8","7.3"
"459","Grant Calcaterra","TE","PHI","0","1.1","0","2.1","2.8","-","-","0","BYE","0","0","1.3","-","","","","","","0.8","7.3"
"462","Cam Akers","RB","SEA","-","-","1.9","-","5.3","-","-","BYE","-","-","-","-","-","","","","","","3.6","7.2"
"463","Cade Stover","TE","HOU","4.2","-","-","-","-","BYE","-","-","-","-","0","0","2.9","","","","","","1.8","7.1"
"464","Jaylen Wright","RB","MIA","-","-","-","-","-","-","0","3.3","0","1.7","0.4","BYE","1.6","","","","","","1.2","7"
"464","Alec Ingold","RB","MIA","0.6","2.3","0","0","0","3","0","0.5","0","0.6","0","BYE","-","","","","","","0.6","7"
"466","Joe Milton III","QB","DAL","-","-","0.6","-","-","-","-","6.3","-","BYE","-","-","-","","","","","","3.5","7"
"467","A.J. Dillon","RB","PHI","1","1.9","0","1.7","1.2","1","-","-","BYE","-","-","-","-","","","","","","1.1","6.8"
"468","Braxton Berrios","WR","HOU","-","-","-","-","-","BYE","0.4","6.3","0","0","-","-","-","","","","","","1.7","6.7"
"469","DJ Giddens","RB","IND","4.1","0","0.3","0","2.2","0","0","-","-","-","BYE","-","-","","","","","","0.9","6.6"
"469","David Martin-Robinson","TE","TEN","0","-","0","-","0","6.6","0","0","0","BYE","0","0","0","","","","","","0.7","6.6"
"471","Malik Willis","QB","GB","-","-","-","-","BYE","-","-","-","-","-","5.8","0.6","-","","","","","","3.2","6.4"
"472","Foster Moreau","TE","NO","-","-","-","-","0","1.4","0","0","0","2.6","BYE","0","2.3","","","","","","0.8","6.3"
"472","Will Dissly","TE","LAC","2.3","1.2","-","-","-","2.8","0","-","-","-","-","BYE","-","","","","","","1.6","6.3"
"472","Hassan Haskins","RB","LAC","0","0","0","0","2","2.8","1.5","-","0","0","-","BYE","-","","","","","","0.7","6.3"
"472","Raheim Sanders","RB","CLE","6.3","-","-","-","-","-","-","-","BYE","-","-","0","-","","","","","","3.2","6.3"
"476","Dee Eskridge","WR","MIA","1.4","1.3","0","0","0","0","3.5","0","0","-","-","BYE","-","","","","","","0.7","6.2"
"477","Albert Okwuegbunam Jr.","TE","LV","-","-","-","-","6.1","-","-","BYE","-","-","-","-","-","","","","","","6.1","6.1"
"477","Austin Trammell","WR","JAC","-","-","-","-","-","-","-","BYE","0","4.3","1.8","0","0","","","","","","1.2","6.1"
"479","Kene Nwangwu","RB","NYJ","0","-","-","-","-","0","0","-","BYE","6","0","0","-","","","","","","1","6"
"479","Jalin Hyatt","WR","NYG","-","-","0","0","0","3.2","0","-","0","-","2.8","-","-","","","","","","0.9","6"
"479","Marquez Valdes-Scantling","WR","PIT","0","0","1.4","-","1.4","3.2","-","-","-","-","-","-","-","","","","","","1.2","6"
"479","Charlie Jones","WR","CIN","0","0","0","0","0","0","0","0","6","BYE","0","0","0","","","","","","0.5","6"
"483","Dare Ogunbowale","RB","HOU","1.6","0","0","0","0","BYE","0","2.2","0.7","0","1.4","0","0","","","","","","0.5","5.9"
"484","Zamir White","RB","LV","0.8","2.3","2.8","-","-","-","-","BYE","-","-","-","-","-","","","","","","2","5.9"
"485","Dareke Young","WR","SEA","-","0","1.7","0","4.1","0","0","BYE","-","-","-","-","-","","","","","","1","5.8"
